Date,Quantity,TransactionType,Duration,Measure,Revenue,CustomerID
2023-01-08,1,Call,345,Seconds,200,Y000000455
2023-01-08,1,Call,345,Seconds,200,Y000000455
2023-01-09,1,Call,345,Seconds,200,Y000000455
2023-01-09,1,SMS,1,Unit,200,Y000000455
2023-01-09,1,Call,345,Seconds,200,Y000000455
2023-01-09,1,Call,345,Seconds,200,Y000000455
2023-01-09,1,Call,345,Seconds,200,Y000000455
2023-01-10,1,SMS,345,Unit,200,Y000000455
2023-01-10,1,SMS,2,Unit,200,Y000000455
2023-01-10,1,SMS,2,Unit,200,Y000000455
2023-01-10,1,Call,345,Seconds,200,Y000000455
2023-01-10,1,SMS,1,Unit,200,Y000000455
2023-01-10,1,SMS,1,Unit,200,Y000000455
2023-01-08,1,Call,23,Seconds,200,Y000000465
2023-01-08,1,Call,43,Seconds,200,Y000000465
2023-01-09,1,Call,34,Seconds,200,Y000000465
2023-01-09,1,SMS,1,Unit,200,Y000000465
2023-01-09,1,Call,33,Seconds,200,Y000000465
2023-01-09,1,Call,33,Seconds,200,Y000000465
2023-01-09,1,Call,22,Seconds,200,Y000000465
2023-01-10,1,SMS,122,Unit,200,Y000000465
2023-01-10,1,SMS,2,Unit,200,Y000000465
2023-01-10,1,SMS,1,Unit,200,Y000000465
2023-01-10,1,Call,122,Seconds,200,Y000000465
2023-01-10,1,SMS,3,Unit,200,Y000000465
2023-01-10,1,SMS,1,Unit,200,Y000000465
2023-01-08,1,Call,22,Seconds,200,Y000000477
2023-01-08,1,Call,43,Seconds,200,Y000000477
2023-01-09,1,Call,133,Seconds,200,Y000000477
2023-01-09,1,SMS,3,Unit,200,Y000000477
2023-01-09,1,Call,333,Seconds,200,Y000000477
2023-01-09,1,Call,34,Seconds,200,Y000000477
2023-01-09,1,Call,32,Seconds,200,Y000000477
2023-01-10,1,SMS,22,Unit,200,Y000000477
2023-01-10,1,SMS,2,Unit,200,Y000000477
2023-01-10,1,SMS,1,Unit,200,Y000000477
2023-01-10,1,Call,111,Seconds,200,Y000000477
2023-01-10,1,SMS,1,Unit,200,Y000000477
2023-01-10,1,SMS,1,Unit,200,Y000000477
